epoch_number,batch_size,framework,dataset,model,power,temp,mem_used,gpu_util,mem_util,total_time,precision,recall,accuracy,f1,energy
9,32,tensorflow,CIFAR10,resnet152,130.65,39.302,38907.0,84.779,3.907,75.5,0.465,0.453,0.453,0.45,9864.075
9,32,tensorflow,CIFAR10,resnet50,126.677,38.087,38907.0,77.817,5.268,29.5,0.538,0.536,0.535,0.53,3736.972
9,32,tensorflow,CIFAR100,resnet101,131.427,38.952,38907.0,84.751,4.559,52.5,0.237,0.222,0.225,0.211,6899.918
9,32,tensorflow,CIFAR100,resnet152,127.015,37.92,38907.0,84.239,3.914,75.5,0.183,0.172,0.173,0.158,9589.632
9,32,tensorflow,CIFAR100,resnet50,125.972,36.966,38907.0,79.31,5.603,29.0,0.275,0.261,0.262,0.253,3653.188
9,32,tensorflow,SVHN,resnet101,129.665,40.173,38907.0,83.618,4.429,77.5,0.78,0.762,0.781,0.766,10049.037
9,32,tensorflow,SVHN,resnet152,131.213,39.977,38907.0,84.723,3.914,110.0,0.714,0.682,0.701,0.688,14433.43
9,32,tensorflow,SVHN,resnet50,124.592,36.94,38907.0,78.672,5.507,42.0,0.87,0.864,0.875,0.866,5232.864
9,64,tensorflow,CIFAR10,resnet101,145.898,41.4,38907.0,86.483,5.733,30.0,0.516,0.502,0.503,0.5,4376.94
9,64,tensorflow,CIFAR10,resnet152,147.786,40.906,38907.0,86.162,5.047,43.0,0.485,0.476,0.476,0.47,6354.798
9,64,tensorflow,CIFAR10,resnet50,133.61,39.781,38907.0,81.562,6.688,16.0,0.538,0.53,0.53,0.525,2137.76
9,64,tensorflow,CIFAR100,resnet101,146.85,41.733,38907.0,87.183,5.767,30.0,0.218,0.204,0.204,0.196,4405.5
9,64,tensorflow,CIFAR100,resnet152,143.81,40.518,38907.0,86.625,5.025,43.5,0.196,0.183,0.185,0.17,6255.735
9,64,tensorflow,CIFAR100,resnet50,138.55,39.131,38907.0,84.478,6.548,16.5,0.248,0.222,0.224,0.22,2286.075
9,64,tensorflow,SVHN,resnet101,144.118,41.086,38907.0,86.702,5.77,44.0,0.8,0.799,0.809,0.797,6341.192
9,64,tensorflow,SVHN,resnet152,147.044,40.976,38907.0,87.476,5.151,63.0,0.759,0.732,0.755,0.742,9263.772
9,64,tensorflow,SVHN,resnet50,126.873,39.364,38907.0,75.788,5.94,25.5,0.843,0.837,0.851,0.838,3235.262
10,128,tensorflow,CIFAR10,resnet101,169.641,43.857,38907.0,84.916,5.627,23.5,0.5,0.494,0.494,0.494,3986.563
